DateTime,Tempc
6/11/2022 8:33,15.1
6/11/2022 9:03,15.6
6/11/2022 9:33,16.6
6/11/2022 10:03,17.6
6/11/2022 10:33,18.6
6/11/2022 11:03,19.1
6/11/2022 11:33,20.1
6/11/2022 12:03,20.1
6/11/2022 12:33,20.1
6/11/2022 13:03,21.1
6/11/2022 13:33,21.6
6/11/2022 14:03,24.6
6/11/2022 14:33,22.1
6/11/2022 15:03,21.1
6/11/2022 15:33,21.6
6/11/2022 16:03,21.6
6/11/2022 16:33,21.1
6/11/2022 17:03,20.6
6/11/2022 17:33,19.6
6/11/2022 18:03,19.6
6/11/2022 18:33,19.1
6/11/2022 19:03,19.1
6/11/2022 19:33,18.6
6/11/2022 20:03,18.1
6/11/2022 20:33,18.1
6/11/2022 21:03,17.6
6/11/2022 21:33,17.1
6/11/2022 22:03,17.1
6/11/2022 22:33,16.6
6/11/2022 23:03,16.1
6/11/2022 23:33,16.1
6/12/2022 0:03,16.1
6/12/2022 0:33,16.1
6/12/2022 1:03,15.6
6/12/2022 1:33,15.6
6/12/2022 2:03,15.6
6/12/2022 2:33,15.1
6/12/2022 3:03,14.6
6/12/2022 3:33,14.1
6/12/2022 4:03,14.1
6/12/2022 4:33,13.1
6/12/2022 5:03,13.1
6/12/2022 5:33,12.6
6/12/2022 6:03,12.6
6/12/2022 6:33,13.1
6/12/2022 7:03,14.1
6/12/2022 7:33,15.1
6/12/2022 8:03,16.1
6/12/2022 8:33,17.1
6/12/2022 9:03,18.1
6/12/2022 9:33,19.1
6/12/2022 10:03,20.1
6/12/2022 10:33,20.6
6/12/2022 11:03,22.1
6/12/2022 11:33,22.6
6/12/2022 12:03,23.1
6/12/2022 12:33,23.1
6/12/2022 13:03,25.1
6/12/2022 13:33,25.1
6/12/2022 14:03,25.1
6/12/2022 14:33,24.1
6/12/2022 15:03,23.1
6/12/2022 15:33,22.6
6/12/2022 16:03,22.6
6/12/2022 16:33,22.6
6/12/2022 17:03,21.6
6/12/2022 17:33,21.6
6/12/2022 18:03,21.1
6/12/2022 18:33,20.6
6/12/2022 19:03,20.1
6/12/2022 19:33,20.1
6/12/2022 20:03,19.1
6/12/2022 20:33,18.1
6/12/2022 21:03,18.1
6/12/2022 21:33,17.6
6/12/2022 22:03,17.6
6/12/2022 22:33,17.1
6/12/2022 23:03,17.1
6/12/2022 23:33,17.1
6/13/2022 0:03,17.1
6/13/2022 0:33,17.1
6/13/2022 1:03,17.1
6/13/2022 1:33,17.1
6/13/2022 2:03,17.1
6/13/2022 2:33,17.1
6/13/2022 3:03,17.1
6/13/2022 3:33,17.1
6/13/2022 4:03,17.1
6/13/2022 4:33,17.1
6/13/2022 5:03,16.6
6/13/2022 5:33,16.6
6/13/2022 6:03,16.6
6/13/2022 6:33,17.1
6/13/2022 7:03,17.1
6/13/2022 7:33,17.6
6/13/2022 8:03,18.6
6/13/2022 8:33,18.6
6/13/2022 9:03,19.6
6/13/2022 9:33,19.6
6/13/2022 10:03,20.6
6/13/2022 10:33,21.1
6/13/2022 11:03,21.6
6/13/2022 11:33,22.1
6/13/2022 12:03,21.6
6/13/2022 12:33,22.6
6/13/2022 13:03,26.6
6/13/2022 13:33,25.1
6/13/2022 14:03,23.1
6/13/2022 14:33,21.1
6/13/2022 15:03,21.1
6/13/2022 15:33,21.1
6/13/2022 16:03,21.1
6/13/2022 16:33,20.6
6/13/2022 17:03,20.6
6/13/2022 17:33,20.6
6/13/2022 18:03,20.6
6/13/2022 18:33,20.6
6/13/2022 19:03,20.6
6/13/2022 19:33,20.6
6/13/2022 20:03,20.6
6/13/2022 20:33,20.1
6/13/2022 21:03,20.1
6/13/2022 21:33,20.1
6/13/2022 22:03,20.1
6/13/2022 22:33,20.1
6/13/2022 23:03,20.1
6/13/2022 23:33,20.1
6/14/2022 0:03,20.1
6/14/2022 0:33,20.1
6/14/2022 1:03,20.1
6/14/2022 1:33,20.1
6/14/2022 2:03,20.1
6/14/2022 2:33,20.1
6/14/2022 3:03,20.1
6/14/2022 3:33,20.1
6/14/2022 4:03,20.1
6/14/2022 4:33,20.6
6/14/2022 5:03,20.6
6/14/2022 5:33,20.6
6/14/2022 6:03,20.6
6/14/2022 6:33,21.1
6/14/2022 7:03,20.6
6/14/2022 7:33,20.6
6/14/2022 8:03,20.6
6/14/2022 8:33,20.6
6/14/2022 9:03,20.6
6/14/2022 9:33,20.6
6/14/2022 10:03,20.6
6/14/2022 10:33,21.1
6/14/2022 11:03,21.1
6/14/2022 11:33,21.1
6/14/2022 12:03,21.1
6/14/2022 12:33,21.1
6/14/2022 13:03,21.1
6/14/2022 13:33,21.1
6/14/2022 14:03,21.1
6/14/2022 14:33,21.1
6/14/2022 15:03,21.1
6/14/2022 15:33,21.1
6/14/2022 16:03,21.1
6/14/2022 16:33,21.1
6/14/2022 17:03,21.1
6/14/2022 17:33,21.1
6/14/2022 18:03,21.1
6/14/2022 18:33,20.6
6/14/2022 19:03,20.6
6/14/2022 19:33,20.6
6/14/2022 20:03,20.6
6/14/2022 20:33,20.6
6/14/2022 21:03,20.6
6/14/2022 21:33,20.6
6/14/2022 22:03,20.6
6/14/2022 22:33,20.6
6/14/2022 23:03,20.6
6/14/2022 23:33,20.6
6/15/2022 0:03,20.6
6/15/2022 0:33,20.6
6/15/2022 1:03,20.6
6/15/2022 1:33,20.6
6/15/2022 2:03,20.6
6/15/2022 2:33,20.6
6/15/2022 3:03,20.6
6/15/2022 3:33,20.6
6/15/2022 4:03,20.6
6/15/2022 4:33,20.6
6/15/2022 5:03,20.6
6/15/2022 5:33,20.6
6/15/2022 6:03,20.6
6/15/2022 6:33,20.6
6/15/2022 7:03,20.6
6/15/2022 7:33,20.6
6/15/2022 8:03,20.6
6/15/2022 8:33,20.6
6/15/2022 9:03,20.6
6/15/2022 9:33,20.6
6/15/2022 10:03,21.1
6/15/2022 10:33,21.1
6/15/2022 11:03,21.1
6/15/2022 11:33,21.1
6/15/2022 12:03,22.1
6/15/2022 12:33,27.1
6/15/2022 13:03,31.1
6/15/2022 13:33,33.6
6/15/2022 14:03,35.6
6/15/2022 14:33,33.1
6/15/2022 15:03,31.1
6/15/2022 15:33,24.1
6/15/2022 16:03,23.1
6/15/2022 16:33,23.1
6/15/2022 17:03,23.1
6/15/2022 17:33,23.1
6/15/2022 18:03,22.1
6/15/2022 18:33,21.1
6/15/2022 19:03,21.1
