"DateTime","TemperatureC","Group","Tempc"
NA,-7.5,"Site_11_2_3_U_May_8.csv",-7.5
NA,-9,"Site_11_2_3_U_May_8.csv",-9
NA,-8.5,"Site_11_2_3_U_May_8.csv",-8.5
NA,-9.5,"Site_11_2_3_U_May_8.csv",-9.5
NA,-9.5,"Site_11_2_3_U_May_8.csv",-9.5
NA,-9.5,"Site_11_2_3_U_May_8.csv",-9.5
NA,-9,"Site_11_2_3_U_May_8.csv",-9
NA,-9.5,"Site_11_2_3_U_May_8.csv",-9.5
NA,-10,"Site_11_2_3_U_May_8.csv",-10
NA,-10.5,"Site_11_2_3_U_May_8.csv",-10.5
NA,-11,"Site_11_2_3_U_May_8.csv",-11
NA,-11.5,"Site_11_2_3_U_May_8.csv",-11.5
NA,-12,"Site_11_2_3_U_May_8.csv",-12
NA,-12.5,"Site_11_2_3_U_May_8.csv",-12.5
NA,-13,"Site_11_2_3_U_May_8.csv",-13
NA,-13,"Site_11_2_3_U_May_8.csv",-13
NA,-14,"Site_11_2_3_U_May_8.csv",-14
NA,-14,"Site_11_2_3_U_May_8.csv",-14
NA,-14,"Site_11_2_3_U_May_8.csv",-14
NA,-14,"Site_11_2_3_U_May_8.csv",-14
NA,-14.5,"Site_11_2_3_U_May_8.csv",-14.5
NA,-15,"Site_11_2_3_U_May_8.csv",-15
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-15,"Site_11_2_3_U_May_8.csv",-15
NA,-16,"Site_11_2_3_U_May_8.csv",-16
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-15,"Site_11_2_3_U_May_8.csv",-15
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-15,"Site_11_2_3_U_May_8.csv",-15
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-15,"Site_11_2_3_U_May_8.csv",-15
NA,-15,"Site_11_2_3_U_May_8.csv",-15
NA,-14,"Site_11_2_3_U_May_8.csv",-14
NA,-13,"Site_11_2_3_U_May_8.csv",-13
NA,-12,"Site_11_2_3_U_May_8.csv",-12
NA,-11,"Site_11_2_3_U_May_8.csv",-11
NA,-9.5,"Site_11_2_3_U_May_8.csv",-9.5
NA,-7.5,"Site_11_2_3_U_May_8.csv",-7.5
NA,-5,"Site_11_2_3_U_May_8.csv",-5
NA,-5,"Site_11_2_3_U_May_8.csv",-5
NA,-4.5,"Site_11_2_3_U_May_8.csv",-4.5
NA,-4.5,"Site_11_2_3_U_May_8.csv",-4.5
NA,-4.5,"Site_11_2_3_U_May_8.csv",-4.5
NA,-4.5,"Site_11_2_3_U_May_8.csv",-4.5
NA,-4.5,"Site_11_2_3_U_May_8.csv",-4.5
NA,-3.5,"Site_11_2_3_U_May_8.csv",-3.5
NA,-3,"Site_11_2_3_U_May_8.csv",-3
NA,-3,"Site_11_2_3_U_May_8.csv",-3
NA,-2.5,"Site_11_2_3_U_May_8.csv",-2.5
NA,-3,"Site_11_2_3_U_May_8.csv",-3
NA,-3,"Site_11_2_3_U_May_8.csv",-3
NA,-3,"Site_11_2_3_U_May_8.csv",-3
NA,-2.5,"Site_11_2_3_U_May_8.csv",-2.5
NA,-2.5,"Site_11_2_3_U_May_8.csv",-2.5
NA,-2,"Site_11_2_3_U_May_8.csv",-2
NA,-2,"Site_11_2_3_U_May_8.csv",-2
NA,-2,"Site_11_2_3_U_May_8.csv",-2
NA,-2,"Site_11_2_3_U_May_8.csv",-2
NA,-2,"Site_11_2_3_U_May_8.csv",-2
NA,-1.5,"Site_11_2_3_U_May_8.csv",-1.5
NA,-1.5,"Site_11_2_3_U_May_8.csv",-1.5
NA,-1.5,"Site_11_2_3_U_May_8.csv",-1.5
NA,-0.9,"Site_11_2_3_U_May_8.csv",-0.9
NA,-0.9,"Site_11_2_3_U_May_8.csv",-0.9
NA,-0.4,"Site_11_2_3_U_May_8.csv",-0.4
NA,-0.4,"Site_11_2_3_U_May_8.csv",-0.4
NA,-0.9,"Site_11_2_3_U_May_8.csv",-0.9
NA,-2,"Site_11_2_3_U_May_8.csv",-2
NA,-3,"Site_11_2_3_U_May_8.csv",-3
NA,-4,"Site_11_2_3_U_May_8.csv",-4
