"Name..SCP_1.csv........."
"User Name	,,,,,,,,,"
"Description:,,,,,,,,,"
"	,,,,,,,,,"
"Start Time:,11/17/2021 15:20,,,,,,,,"
"End Time:,11/17/2021 15:57,,,,,,,,"
"Elapsed Time:,00000Day00:36:54,,,,,,,,"
"Interval:,1 sec,,,,,,,,"
"Data Number:,2215,,,,,,,,"
",,,,,,,,,"
"No.,Data,Time,ID.,CH 1,Type,Unit,CH 2,Type,Unit"
"76,11/17/2021,15:21:40,0,-16.9,K,Deg-C,-16.8,K,Deg-C"
"77,11/17/2021,15:21:41,0,-16.9,K,Deg-C,-16.8,K,Deg-C"
"78,11/17/2021,15:21:42,0,-16.9,K,Deg-C,-16.8,K,Deg-C"
"79,11/17/2021,15:21:43,0,-16.9,K,Deg-C,-16.8,K,Deg-C"
"80,11/17/2021,15:21:44,0,-16.9,K,Deg-C,-16.9,K,Deg-C"
"81,11/17/2021,15:21:45,0,-16.9,K,Deg-C,-16.9,K,Deg-C"
"82,11/17/2021,15:21:46,0,-16.9,K,Deg-C,-16.9,K,Deg-C"
"83,11/17/2021,15:21:47,0,-16.9,K,Deg-C,-16.9,K,Deg-C"
"84,11/17/2021,15:21:48,0,-16.9,K,Deg-C,-16.9,K,Deg-C"
"85,11/17/2021,15:21:49,0,-16.9,K,Deg-C,-16.9,K,Deg-C"
"86,11/17/2021,15:21:50,0,-16.9,K,Deg-C,-16.9,K,Deg-C"
"87,11/17/2021,15:21:51,0,-16.9,K,Deg-C,-16.9,K,Deg-C"
"88,11/17/2021,15:21:52,0,-16.9,K,Deg-C,-16.9,K,Deg-C"
"89,11/17/2021,15:21:53,0,-17,K,Deg-C,-16.9,K,Deg-C"
"90,11/17/2021,15:21:54,0,-16.9,K,Deg-C,-16.9,K,Deg-C"
"91,11/17/2021,15:21:55,0,-16.9,K,Deg-C,-16.9,K,Deg-C"
"92,11/17/2021,15:21:56,0,-17,K,Deg-C,-16.9,K,Deg-C"
"93,11/17/2021,15:21:57,0,-17,K,Deg-C,-16.9,K,Deg-C"
"94,11/17/2021,15:21:58,0,-17,K,Deg-C,-17,K,Deg-C"
"95,11/17/2021,15:21:59,0,-17,K,Deg-C,-17,K,Deg-C"
"96,11/17/2021,15:22:00,0,-17,K,Deg-C,-17,K,Deg-C"
"97,11/17/2021,15:22:01,0,-17,K,Deg-C,-17,K,Deg-C"
"98,11/17/2021,15:22:02,0,-17,K,Deg-C,-17,K,Deg-C"
"99,11/17/2021,15:22:03,0,-17,K,Deg-C,-17,K,Deg-C"
"100,11/17/2021,15:22:04,0,-17,K,Deg-C,-17,K,Deg-C"
"101,11/17/2021,15:22:05,0,-17,K,Deg-C,-17,K,Deg-C"
"102,11/17/2021,15:22:06,0,-17,K,Deg-C,-17,K,Deg-C"
"103,11/17/2021,15:22:07,0,-17.1,K,Deg-C,-17,K,Deg-C"
"104,11/17/2021,15:22:08,0,-17.1,K,Deg-C,-17,K,Deg-C"
"105,11/17/2021,15:22:09,0,-17.1,K,Deg-C,-17,K,Deg-C"
"106,11/17/2021,15:22:10,0,-17,K,Deg-C,-17,K,Deg-C"
"107,11/17/2021,15:22:11,0,-17.1,K,Deg-C,-17,K,Deg-C"
"108,11/17/2021,15:22:12,0,-17.1,K,Deg-C,-17.1,K,Deg-C"
"109,11/17/2021,15:22:13,0,-17.1,K,Deg-C,-17.1,K,Deg-C"
"110,11/17/2021,15:22:14,0,-17.1,K,Deg-C,-17.1,K,Deg-C"
"111,11/17/2021,15:22:15,0,-17.1,K,Deg-C,-17.1,K,Deg-C"
"112,11/17/2021,15:22:16,0,-17.1,K,Deg-C,-17.1,K,Deg-C"
"113,11/17/2021,15:22:17,0,-17.1,K,Deg-C,-17.1,K,Deg-C"
"114,11/17/2021,15:22:18,0,-17.1,K,Deg-C,-17.1,K,Deg-C"
"115,11/17/2021,15:22:19,0,-17.2,K,Deg-C,-17.1,K,Deg-C"
"116,11/17/2021,15:22:20,0,-17.2,K,Deg-C,-17.1,K,Deg-C"
"117,11/17/2021,15:22:21,0,-17.2,K,Deg-C,-17.1,K,Deg-C"
"118,11/17/2021,15:22:22,0,-17.2,K,Deg-C,-17.1,K,Deg-C"
"119,11/17/2021,15:22:23,0,-17.2,K,Deg-C,-17.1,K,Deg-C"
"120,11/17/2021,15:22:24,0,-17.2,K,Deg-C,-17.2,K,Deg-C"
"121,11/17/2021,15:22:25,0,-17.2,K,Deg-C,-17.2,K,Deg-C"
"122,11/17/2021,15:22:26,0,-17.2,K,Deg-C,-17.2,K,Deg-C"
