"",12/3/2021
"Timezone",-5

"Serial No.","9F00000078DFDF41"
"Location:","Jericho_5_1_3U"
"High temperature limit (°C)",20.19
"Low temperature limit (°C)",-30.25
"Date - Time","Temperature (°C)"
44529.60418,-3.9
44529.62501,-5.4
44529.64584,-6.5
44529.66668,-7.0
44529.68751,-7.5
44529.70834,-8.0
44529.72918,-8.0
44529.75001,-8.5
44529.77084,-8.5
44529.79168,-8.5
44529.81251,-9.0
44529.83334,-8.5
44529.85418,-8.5
44529.87501,-8.5
44529.89584,-8.0
44529.91668,-8.5
44529.93751,-9.0
44529.95834,-9.0
44529.97918,-9.0
44530.00001,-9.0
44530.02084,-9.0
44530.04168,-9.0
44530.06251,-8.5
44530.08334,-7.5
44530.10418,-7.5
44530.12501,-7.5
44530.14584,-7.0
44530.16668,-7.0
44530.18751,-7.0
44530.20834,-6.5
44530.22918,-6.5
44530.25001,-6.5
44530.27084,-6.0
44530.29168,-6.0
44530.31251,-4.9
44530.33334,-3.9
44530.35418,-2.9
44530.37501,-2.4
44530.39584,-1.4
44530.41668,-1.4
44530.43751,-0.9
44530.45834,-0.4
44530.47918,-0.9
44530.50001,-0.4
44530.52084,0.1
44530.54168,-0.4
44530.56251,1.1
44530.58334,-0.4
44530.60418,-1.4
44530.62501,-1.9
44530.64584,-2.4
44530.66668,-2.9
44530.68751,-2.9
44530.70834,-2.4
44530.72918,-2.4
44530.75001,-2.4
44530.77084,-2.4
44530.79168,-1.9
44530.81251,-1.9
44530.83334,-1.9
44530.85418,-2.4
44530.87501,-2.4
44530.89584,-2.4
44530.91668,-2.4
44530.93751,-1.9
44530.95834,-1.9
44530.97918,-1.4
44531.00001,-1.4
44531.02084,-1.4
44531.04168,-0.9
44531.06251,-0.9
44531.08334,-0.9
44531.10418,-0.9
44531.12501,-0.4
44531.14584,-0.4
44531.16668,-0.4
44531.18751,0.1
44531.20834,-0.4
44531.22918,-0.4
44531.25001,-0.4
44531.27084,-0.4
44531.29168,0.1
44531.31251,0.1
44531.33334,1.1
44531.35418,0.1
44531.37501,-0.4
44531.39584,0.6
44531.41668,0.6
44531.43751,0.1
44531.45834,2.1
44531.47918,2.6
44531.50001,2.6
44531.52084,2.1
44531.54168,1.1
44531.56251,1.1
44531.58334,0.6
44531.60418,-0.9
44531.62501,-1.4
44531.64584,-2.4
44531.66668,-2.4
44531.68751,-2.4
44531.70834,-2.9
44531.72918,-3.4
44531.75001,-2.9
44531.77084,-2.9
44531.79168,-2.9
44531.81251,-3.4
44531.83334,-3.9
44531.85418,-3.9
44531.87501,-4.4
44531.89584,-4.4
44531.91668,-4.9
44531.93751,-4.4
44531.95834,-4.4
44531.97918,-4.4
44532.00001,-3.9
44532.02084,-2.9
44532.04168,-2.4
44532.06251,-1.9
44532.08334,-0.9
44532.10418,0.6
44532.12501,0.1
44532.14584,-0.4
44532.16668,0.1
44532.18751,0.1
44532.20834,0.6
44532.22918,0.6
44532.25001,0.6
44532.27084,0.1
44532.29168,1.6
44532.31251,1.6
44532.33334,3.1
44532.35418,3.6
44532.37501,3.6
44532.39584,3.6
44532.41668,4.1
44532.43751,4.6
44532.45834,4.1
44532.47918,4.1
44532.50001,3.6
44532.52084,5.6
44532.54168,5.6
44532.56251,5.6
44532.58334,5.6
44532.60418,6.1
44532.62501,6.1
44532.64584,5.6
44532.66668,6.1
44532.68751,5.6
44532.70834,5.1
44532.72918,5.1
44532.75001,4.6
44532.77084,4.6
44532.79168,4.1
44532.81251,4.1
44532.83334,4.1
44532.85418,3.6
44532.87501,3.1
44532.89584,3.1
44532.91668,3.1
44532.93751,2.1
44532.95834,1.6
44532.97918,1.6
44533.00001,1.1
44533.02084,0.6
44533.04168,0.1
44533.06251,0.1
44533.08334,-0.4
44533.10418,-0.4
44533.12501,-0.9
44533.14584,-1.4
44533.16668,-1.4
44533.18751,-1.4
44533.20834,-1.4
44533.22918,-1.4
44533.25001,-1.4
44533.27084,-1.9
44533.29168,-1.9
44533.31251,-1.9
44533.33334,-1.4
44533.35418,-2.4
44533.37501,-0.9
44533.39584,-0.9
44533.41668,-1.4
44533.43751,-0.9
44533.45834,1.1
44533.47918,9.7
44533.50001,13.7
44533.52084,20.7
-end-
