Group,Month,Jar,SCP_Value
Mar_1_D,March,1_Dense,-24.3
Mar_1_D,March,1_Dense,-23.5
Mar_1_D,March,1_Dense,-24
Mar_1_D,March,1_Dense,-21.3
Mar_1_D,March,1_Dense,-21.7
Mar_2_U,March,2_Open,-26.6
Mar_2_U,March,2_Open,-27.1
Mar_2_U,March,2_Open,-26.8
Mar_2_U,March,2_Open,-28.2
Mar_2_U,March,2_Open,-24.6
Mar_2_U,March,2_Open,-24.4
Mar_2_U,March,2_Open,-27
Mar_2_D,March,2_Dense,-17.9
Mar_2_D,March,2_Dense,-26
Mar_2_D,March,2_Dense,-23.3
Mar_2_D,March,2_Dense,-24.2
Mar_2_D,March,2_Dense,-25.8
Mar_2_D,March,2_Dense,-20.8
Mar_2_D,March,2_Dense,-25.7
Mar_2_D,March,2_Dense,-28
Mar_2_D,March,2_Dense,-16.8
Mar_2_D,March,2_Dense,-21.5
Mar_3_U,March,3_Open,-25.3
Mar_3_U,March,3_Open,-25.9
Mar_3_U,March,3_Open,-27.7
Mar_3_U,March,3_Open,-25.2
Mar_3_U,March,3_Open,-25.5
Mar_3_U,March,3_Open,-26.6
Mar_3_U,March,3_Open,-27.3
Mar_3_U,March,3_Open,-27
Mar_3_U,March,3_Open,-26.7
Mar_3_D,March,3_Dense,-26.1
Mar_3_D,March,3_Dense,-24
Mar_3_D,March,3_Dense,-26
Mar_3_D,March,3_Dense,-21.6
Mar_3_D,March,3_Dense,-26.9
Mar_3_D,March,3_Dense,-26.4
Mar_3_D,March,3_Dense,-26.2
Mar_3_D,March,3_Dense,-24.2
Apr_1_D,April,1_Dense,-24.6
Apr_1_U,April,1_Open,-24.6
Apr_1_U,April,1_Open,-24.8
Apr_1_U,April,1_Open,-23.8
Apr_1_U,April,1_Open,-20.7
Apr_1_U,April,1_Open,-24.1
Apr_1_U,April,1_Open,-21.9
Apr_1_U,April,1_Open,-22.8
Apr_1_U,April,1_Open,-22.5
Apr_1_U,April,1_Open,-22.7
Apr_1_U,April,1_Open,-21.6
Apr_1_U,April,1_Open,-24.1
Apr_2_U,April,2_Open,-21.1
Apr_2_U,April,2_Open,-19.2
Apr_2_U,April,2_Open,-21.2
Apr_2_D,April,2_Dense,-25.2
Apr_2_D,April,2_Dense,-25.8
Apr_2_D,April,2_Dense,-26.2
Apr_2_D,April,2_Dense,-23
Apr_2_D,April,2_Dense,-26.1
Apr_2_D,April,2_Dense,-24.9
Apr_3_U,April,3_Open,-26.2
Apr_3_U,April,3_Open,-25.8
Apr_3_U,April,3_Open,-29.1
Apr_3_U,April,3_Open,-29.3
Apr_3_U,April,3_Open,-25
Apr_3_U,April,3_Open,-26.4
Apr_3_U,April,3_Open,-26.2
Apr_3_U,April,3_Open,-25.9
Apr_3_D,April,3_Dense,-25.4
Apr_3_D,April,3_Dense,-26.1
Apr_3_D,April,3_Dense,-25.9
Apr_3_D,April,3_Dense,-25.6
Apr_3_D,April,3_Dense,-27
Apr_3_D,April,3_Dense,-24.3
Apr_3_D,April,3_Dense,-26.2
